areaType,areaName,areaCode,date,newCasesByPublishDate,cumCasesByPublishDate
nation,North East,E12000001,2021/12/3,43888,8802632
nation,North West,E12000002,2021/12/3,43888,8802632
nation,Yorkshire and the Humber,E12000003,2021/12/3,43888,8802632
nation,East Midlands,E12000004,2021/12/3,43888,8802632
nation,West Midlands,E12000005,2021/12/3,43888,8802632
nation,East,E12000006,2021/12/3,43888,8802632
nation,London,E12000007,2021/12/3,43888,8802632
nation,South East,E12000008,2021/12/3,43888,8802632
nation,South West,E12000009,2021/12/3,43888,8802632
nation,Northern Ireland,N92000002,2021/12/3,1908,325119
nation,Scotland,S92000003,2021/12/3,2432,735750
nation,Wales,W92000004,2021/12/3,2356,516146